,batch_size,c,clip_grad_norm,data_path,device,exclude_classes,grad_accum_steps,logging_steps,max_lr,model,num_classes,num_epochs,output_dir,reduction,save_path,seed,warmup_steps,weight_decay,f1_score
0,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,1e-05,clinicallongformer,5,40,../results,attention,../results/20220502/013740,73248,50,0.01,0.3230557054626132
1,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,5e-05,clinicallongformer,5,30,../results,attention,../results/20220502/050853,81097,150,1e-05,0.77996632996633
2,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,2e-05,clinicallongformer,5,30,../results,attention,../results/20220502/031336,24737,150,0.0001,0.761832574641853
3,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,5e-05,clinicallongformer,5,40,../results,attention,../results/20220502/070246,13327,150,0.01,0.7658193577184099
4,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,1e-05,clinicallongformer,5,30,../results,attention,../results/20220502/011631,963,150,0.001,0.6511571116222279
5,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,5e-05,clinicallongformer,5,50,../results,attention,../results/20220502/055012,64495,150,0.0001,0.7798701298701298
6,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,2e-05,clinicallongformer,5,30,../results,attention,../results/20220502/042103,88314,100,0.01,0.514368166751287
7,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,1e-05,clinicallongformer,5,30,../results,attention,../results/20220502/015548,16291,150,0.01,0.36307557100395976
8,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,2e-05,clinicallongformer,5,40,../results,attention,../results/20220502/033307,95926,50,0.001,0.8054435107376283
9,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,5e-05,clinicallongformer,5,40,../results,attention,../results/20220502/065317,42200,100,0.01,0.7687291346646185
10,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,2e-05,clinicallongformer,5,30,../results,attention,../results/20220502/032321,71020,25,0.001,0.7849134422721247
11,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,5e-05,clinicallongformer,5,30,../results,attention,../results/20220502/061501,76479,100,0.001,0.7435329420590441
12,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,2e-05,clinicallongformer,5,40,../results,attention,../results/20220502/032431,3509,25,0.001,0.7964249267342051
13,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,2e-05,clinicallongformer,5,50,../results,attention,../results/20220502/035521,83913,150,0.001,0.760204991087344
14,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,1e-05,clinicallongformer,5,50,../results,attention,../results/20220502/000605,95343,150,1e-05,0.7081028775146422
15,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,2e-05,clinicallongformer,5,30,../results,attention,../results/20220502/034212,94042,100,0.001,0.7443938679582244
16,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,2e-05,clinicallongformer,5,50,../results,attention,../results/20220502/024748,51262,25,0.0001,0.7356080750932236
17,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,2e-05,clinicallongformer,5,30,../results,attention,../results/20220502/024440,67449,25,0.0001,0.7342217203086768
18,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,1e-05,clinicallongformer,5,40,../results,attention,../results/20220502/010854,23948,100,0.001,0.704981684981685
19,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,1e-05,clinicallongformer,5,40,../results,attention,../results/20220502/015918,51943,150,0.01,0.3124261643923378
20,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,2e-05,clinicallongformer,5,40,../results,attention,../results/20220502/030418,79327,100,0.0001,0.7506430709516134
21,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,1e-05,clinicallongformer,5,30,../results,attention,../results/20220502/014555,28849,100,0.01,0.34788059063525345
22,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,1e-05,clinicallongformer,5,30,../results,attention,../results/20220502/012622,12900,25,0.01,0.3122976841009628
23,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,2e-05,clinicallongformer,5,40,../results,attention,../results/20220502/021703,80001,50,1e-05,0.7782733643285493
24,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,2e-05,clinicallongformer,5,50,../results,attention,../results/20220502/034556,93130,100,0.001,0.7762861699703805
25,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,5e-05,clinicallongformer,5,50,../results,attention,../results/20220502/070608,49627,150,0.01,0.8234370259231476
26,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,5e-05,clinicallongformer,5,40,../results,attention,../results/20220502/063414,3571,25,0.01,0.774278148745107
27,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,1e-05,clinicallongformer,5,30,../results,attention,../results/20220502/002702,72118,100,0.0001,0.7058085427296942
28,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,2e-05,clinicallongformer,5,40,../results,attention,../results/20220502/035257,50207,150,0.001,0.7764127637756422
29,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,5e-05,clinicallongformer,5,30,../results,attention,../results/20220502/064256,46572,50,0.01,0.7436323366555924
30,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,2e-05,clinicallongformer,5,50,../results,attention,../results/20220502/030848,31127,100,0.0001,0.7785150093956764
31,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,2e-05,clinicallongformer,5,50,../results,attention,../results/20220502/041441,88057,50,0.01,0.6814230769230769
32,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,2e-05,clinicallongformer,5,50,../results,attention,../results/20220502/043427,10214,150,0.01,0.635036646521795
33,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,2e-05,clinicallongformer,5,30,../results,attention,../results/20220502/041112,12581,50,0.01,0.5448360778404487
34,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,5e-05,clinicallongformer,5,50,../results,attention,../results/20220502/055930,24613,25,0.001,0.7622300484379296
35,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,5e-05,clinicallongformer,5,50,../results,attention,../results/20220502/064700,82756,50,0.01,0.7687788286046126
36,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,2e-05,clinicallongformer,5,40,../results,attention,../results/20220502/031353,22922,150,0.0001,0.6837683505125366
37,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,2e-05,clinicallongformer,5,40,../results,attention,../results/20220502/040142,67665,25,0.01,0.6637973368940321
38,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,1e-05,clinicallongformer,5,30,../results,attention,../results/20220502/013605,39311,50,0.01,0.32308790769406526
39,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,2e-05,clinicallongformer,5,40,../results,attention,../results/20220502/020625,13725,25,1e-05,0.7727119938884645
40,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,2e-05,clinicallongformer,5,50,../results,attention,../results/20220502/042434,13246,100,0.01,0.733413578291627
41,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,5e-05,clinicallongformer,5,30,../results,attention,../results/20220502/063402,10823,25,0.01,0.7086276558690352
42,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,2e-05,clinicallongformer,5,30,../results,attention,../results/20220502/023451,37969,150,1e-05,0.8441395153714154
43,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,5e-05,clinicallongformer,5,30,../results,attention,../results/20220502/070230,61579,150,0.01,0.7178297125301734
44,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,2e-05,clinicallongformer,5,30,../results,attention,../results/20220502/035149,10103,150,0.001,0.766908072319837
45,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,1e-05,clinicallongformer,5,40,../results,attention,../results/20220502/010121,70542,50,0.001,0.6414038131381584
46,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,1e-05,clinicallongformer,5,50,../results,attention,../results/20220502/013209,5356,25,0.01,0.7196987223303013
47,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,5e-05,clinicallongformer,5,40,../results,attention,../results/20220502/051837,51180,25,0.0001,0.7241353961588184
48,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,1e-05,clinicallongformer,5,50,../results,attention,../results/20220502/012143,21704,150,0.001,0.7101193952758409
49,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,5e-05,clinicallongformer,5,40,../results,attention,../results/20220502/055632,70393,25,0.001,0.7292117418919066
50,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,2e-05,clinicallongformer,5,30,../results,attention,../results/20220502/030350,48412,100,0.0001,0.731068376068376
51,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,2e-05,clinicallongformer,5,40,../results,attention,../results/20220502/034235,47695,100,0.001,0.8023497778816928
52,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,1e-05,clinicallongformer,5,30,../results,attention,../results/20220502/010626,84405,100,0.001,0.6717827224725539
53,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,2e-05,clinicallongformer,5,50,../results,attention,../results/20220502/024010,32605,150,1e-05,0.7296200782868985
54,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,5e-05,clinicallongformer,5,50,../results,attention,../results/20220502/044344,89116,25,1e-05,0.7695936482701189
55,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,5e-05,clinicallongformer,5,50,../results,attention,../results/20220502/061826,22278,100,0.001,0.8195807245197742
56,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,2e-05,clinicallongformer,5,50,../results,attention,../results/20220502/022938,37168,100,1e-05,0.7743248963753417
57,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,5e-05,clinicallongformer,5,40,../results,attention,../results/20220502/054703,37028,150,0.0001,0.8085423197492163
58,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,1e-05,clinicallongformer,5,30,../results,attention,../results/20220502/003649,17632,150,0.0001,0.6800229932174722
59,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,5e-05,clinicallongformer,5,40,../results,attention,../results/20220502/050912,25110,150,1e-05,0.7917081259413654
60,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,1e-05,clinicallongformer,5,50,../results,attention,../results/20220502/010313,41688,50,0.001,0.7185425685425686
61,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,5e-05,clinicallongformer,5,30,../results,attention,../results/20220502/052745,90923,50,0.0001,0.8253827999078979
62,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,5e-05,clinicallongformer,5,30,../results,attention,../results/20220502/054650,42203,150,0.0001,0.7330560942325648
63,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,1e-05,clinicallongformer,5,50,../results,attention,../results/20220502/011430,14337,100,0.001,0.7687975319271058
64,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,5e-05,clinicallongformer,5,40,../results,attention,../results/20220502/045017,61152,50,1e-05,0.754311879405258
65,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,2e-05,clinicallongformer,5,50,../results,attention,../results/20220502/033713,44001,50,0.001,0.751424249567814
66,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,1e-05,clinicallongformer,5,40,../results,attention,../results/20220502/011920,8689,150,0.001,0.5971491228070175
67,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,5e-05,clinicallongformer,5,30,../results,attention,../results/20220502/051820,14067,25,0.0001,0.7916686104700695
68,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,1e-05,clinicallongformer,5,50,../results,attention,../results/20220502/014315,37187,50,0.01,0.43215214736953866
69,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,1e-05,clinicallongformer,5,30,../results,attention,../results/20220502/001707,80277,50,0.0001,0.722517212571659
70,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,2e-05,clinicallongformer,5,30,../results,attention,../results/20220502/040141,60751,25,0.01,0.6768040830083297
71,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,1e-05,clinicallongformer,5,50,../results,attention,../results/20220502/015040,7446,100,0.01,0.36517868266646636
72,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,5e-05,clinicallongformer,5,30,../results,attention,../results/20220502/044959,60164,50,1e-05,0.8156624233851957
73,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,1e-05,clinicallongformer,5,50,../results,attention,../results/20220502/005242,32447,25,0.001,0.7354283668956455
74,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,5e-05,clinicallongformer,5,30,../results,attention,../results/20220502/065241,80416,100,0.01,0.7951016018910226
75,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,2e-05,clinicallongformer,5,30,../results,attention,../results/20220502/020533,60214,25,1e-05,0.7469708433201461
76,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,5e-05,clinicallongformer,5,50,../results,attention,../results/20220502/051210,5917,150,1e-05,0.7762142158916353
77,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,5e-05,clinicallongformer,5,50,../results,attention,../results/20220502/050246,75689,100,1e-05,0.8868505747126436
78,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,1e-05,clinicallongformer,5,40,../results,attention,../results/20220502/014820,29510,100,0.01,0.3928104575163399
79,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,5e-05,clinicallongformer,5,40,../results,attention,../results/20220502/064337,90605,50,0.01,0.7673949579831933
80,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,5e-05,clinicallongformer,5,40,../results,attention,../results/20220502/045932,3264,100,1e-05,0.7989898989898989
81,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,2e-05,clinicallongformer,5,40,../results,attention,../results/20220502/024522,94453,25,0.0001,0.7791284541923928
82,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,5e-05,clinicallongformer,5,30,../results,attention,../results/20220502/045929,10886,100,1e-05,0.8309367103484749
83,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,1e-05,clinicallongformer,5,30,../results,attention,../results/20220502/004636,31955,25,0.001,0.6176983537181846
84,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,2e-05,clinicallongformer,5,50,../results,attention,../results/20220502/021904,45481,50,1e-05,0.6991185770145576
85,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,2e-05,clinicallongformer,5,40,../results,attention,../results/20220502/041139,30321,50,0.01,0.701047619047619
86,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,2e-05,clinicallongformer,5,50,../results,attention,../results/20220502/032632,43694,25,0.001,0.7604027113237639
87,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,1e-05,clinicallongformer,5,30,../results,attention,../results/20220502/005630,53220,50,0.001,0.6469565899107494
88,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,1e-05,clinicallongformer,5,40,../results,attention,../results/20220502/000417,8608,150,1e-05,0.7555182072829132
89,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,1e-05,clinicallongformer,5,40,../results,attention,../results/20220502/002146,56428,50,0.0001,0.7571436148510812
90,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,1e-05,clinicallongformer,5,50,../results,attention,../results/20220502/020111,73653,150,0.01,0.3643521695695609
91,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,1e-05,clinicallongformer,5,40,../results,attention,../results/20220502/003245,32169,100,0.0001,0.7465284069935233
92,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,5e-05,clinicallongformer,5,50,../results,attention,../results/20220502/054022,32008,100,0.0001,0.7745546133560725
93,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,1e-05,clinicallongformer,5,50,../results,attention,../results/20220502/003432,59973,100,0.0001,0.7697222222222222
94,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,2e-05,clinicallongformer,5,50,../results,attention,../results/20220502/021158,30494,25,1e-05,0.700995599559956
95,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,5e-05,clinicallongformer,5,30,../results,attention,../results/20220502/062435,4099,150,0.001,0.8225735480452461
96,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,2e-05,clinicallongformer,5,40,../results,attention,../results/20220502/042124,31841,100,0.01,0.6364264493676258
97,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,5e-05,clinicallongformer,5,30,../results,attention,../results/20220502/055549,26500,25,0.001,0.7793378684807256
98,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,5e-05,clinicallongformer,5,40,../results,attention,../results/20220502/044041,66835,25,1e-05,0.7277829313543599
99,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,2e-05,clinicallongformer,5,30,../results,attention,../results/20220502/033246,17671,50,0.001,0.7703243853797145
100,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,1e-05,clinicallongformer,5,50,../results,attention,../results/20220502/002347,8937,50,0.0001,0.7266907897910938
101,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,1e-05,clinicallongformer,5,40,../results,attention,../results/20220502/003951,35071,150,0.0001,0.7537383201235724
102,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,2e-05,clinicallongformer,5,30,../results,attention,../results/20220502/025418,33980,50,0.0001,0.7258136249715197
103,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,5e-05,clinicallongformer,5,50,../results,attention,../results/20220502/060911,71766,50,0.001,0.7769432115625355
104,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,5e-05,clinicallongformer,5,30,../results,attention,../results/20220502/053729,9544,100,0.0001,0.7723070827283167
105,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,5e-05,clinicallongformer,5,50,../results,attention,../results/20220502/052153,16492,25,0.0001,0.8312947838562659
106,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,2e-05,clinicallongformer,5,50,../results,attention,../results/20220502/040531,26343,25,0.01,0.7184369352330517
107,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,2e-05,clinicallongformer,5,30,../results,attention,../results/20220502/022505,17152,100,1e-05,0.7431420588867398
108,8,,1.0,../data/dataset.pkl,cuda,unknown,2,10,1e-05,clinicallongformer,5,40,../results,attention,../results/20220502/005016,33912,25,0.001,0.6591909882232463
