,batch_size,c,clip_grad_norm,data_path,device,exclude_classes,grad_accum_steps,logging_steps,max_lr,model,num_classes,num_epochs,output_dir,reduction,save_path,seed,warmup_steps,weight_decay,f1_score
0,4,2.0,1.0,../data/dataset.pkl,cuda,unknown,4,10,2e-05,clinicalslidingwindow,5,100,../results,mean/max,../results/20220430/141829,3615,50,0.0001,0.6929080153800651
1,4,4.0,1.0,../data/dataset.pkl,cuda,unknown,4,10,1e-05,clinicalslidingwindow,5,60,../results,mean/max,../results/20220430/205227,7268,50,1e-05,0.664378478664193
2,4,4.0,1.0,../data/dataset.pkl,cuda,unknown,4,10,1e-05,clinicalslidingwindow,5,60,../results,mean/max,../results/20220430/220233,87879,50,0.001,0.6585478214791795
3,4,2.0,1.0,../data/dataset.pkl,cuda,unknown,4,10,0.0001,clinicalslidingwindow,5,60,../results,mean/max,../results/20220430/111501,2070,150,0.0001,0.6825507246376812
4,4,2.0,1.0,../data/dataset.pkl,cuda,unknown,4,10,5e-05,clinicalslidingwindow,5,80,../results,mean/max,../results/20220430/174123,32226,50,0.01,0.6263683884553449
5,4,4.0,1.0,../data/dataset.pkl,cuda,unknown,4,10,0.0001,clinicalslidingwindow,5,100,../results,mean/max,../results/20220430/185617,22711,150,1e-05,0.665202614379085
6,4,2.0,1.0,../data/dataset.pkl,cuda,unknown,4,10,0.0001,clinicalslidingwindow,5,80,../results,mean/max,../results/20220430/101436,11611,25,1e-05,0.622264305274014
7,4,2.0,1.0,../data/dataset.pkl,cuda,unknown,4,10,1e-05,clinicalslidingwindow,5,60,../results,mean/max,../results/20220430/121904,7930,25,0.001,0.6770912881281544
8,4,4.0,1.0,../data/dataset.pkl,cuda,unknown,4,10,2e-05,clinicalslidingwindow,5,60,../results,mean/max,../results/20220430/232059,30502,100,1e-05,0.6511996315910661
9,4,4.0,1.0,../data/dataset.pkl,cuda,unknown,4,10,2e-05,clinicalslidingwindow,5,80,../results,mean/max,../results/20220430/230354,66512,25,1e-05,0.6153101802757158
