,Unnamed: 0,batch_size,clip_grad_norm,data_path,device,exclude_classes,handle_max_length,logging_steps,max_lr,model,num_classes,num_epochs,output_dir,save_path,seed,warmup_steps,weight_decay,c,grad_accum_steps,reduction,f1_score
0,0,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0001,clinicalbiobert,5,40,../results,../results/20220426/210518,28922,50,0.01,,,,
1,1,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0005,clinicalbiobert,5,50,../results,../results/20220426/234619,98535,100,0.001,,,,
2,2,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0002,clinicalbiobert,5,30,../results,../results/20220426/220707,16494,100,0.001,,,,
3,3,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0001,clinicalbiobert,5,40,../results,../results/20220426/203522,46338,150,0.0001,,,,
4,4,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0001,clinicalbiobert,5,40,../results,../results/20220426/200528,20741,50,1e-05,,,,
5,5,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0002,clinicalbiobert,5,40,../results,../results/20220426/222750,41386,100,0.01,,,,
6,6,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0002,clinicalbiobert,5,40,../results,../results/20220426/223236,95714,150,0.01,,,,
7,7,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0002,clinicalbiobert,5,40,../results,../results/20220426/214922,3463,100,0.0001,,,,
8,8,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0002,clinicalbiobert,5,30,../results,../results/20220426/211848,63797,25,1e-05,,,,
9,9,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0002,clinicalbiobert,5,50,../results,../results/20220426/215550,72382,150,0.0001,,,,
10,10,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0001,clinicalbiobert,5,40,../results,../results/20220426/202549,88513,50,0.0001,,,,
11,11,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0002,clinicalbiobert,5,40,../results,../results/20220426/222253,10224,50,0.01,,,,
12,12,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0001,clinicalbiobert,5,30,../results,../results/20220426/200334,56124,50,1e-05,,,,
13,13,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0001,clinicalbiobert,5,30,../results,../results/20220426/200024,39709,25,1e-05,,,,
14,14,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0002,clinicalbiobert,5,50,../results,../results/20220426/214540,69928,50,0.0001,,,,
15,15,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0002,clinicalbiobert,5,50,../results,../results/20220426/213119,81670,100,1e-05,,,,
16,16,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0002,clinicalbiobert,5,30,../results,../results/20220426/223126,93399,150,0.01,,,,
17,17,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0002,clinicalbiobert,5,50,../results,../results/20220426/221451,2033,150,0.001,,,,
18,18,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0005,clinicalbiobert,5,50,../results,../results/20220426/231019,28987,100,1e-05,,,,
19,19,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0001,clinicalbiobert,5,30,../results,../results/20220426/201510,94934,150,1e-05,,,,
20,20,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0001,clinicalbiobert,5,40,../results,../results/20220426/202013,75449,25,0.0001,,,,
21,21,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0005,clinicalbiobert,5,40,../results,../results/20220426/234512,86353,100,0.001,,,,
22,22,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0005,clinicalbiobert,5,30,../results,../results/20220426/234919,62419,150,0.001,,,,
23,23,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0005,clinicalbiobert,5,50,../results,../results/20220426/235639,84134,25,0.01,,,,
24,24,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0005,clinicalbiobert,5,30,../results,../results/20220426/233952,23118,50,0.001,,,,
25,25,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0005,clinicalbiobert,5,30,../results,../results/20220426/234434,99637,100,0.001,,,,
26,26,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0001,clinicalbiobert,5,30,../results,../results/20220426/205431,7222,150,0.001,,,,
27,27,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0001,clinicalbiobert,5,40,../results,../results/20220426/204505,93253,50,0.001,,,,
28,28,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0005,clinicalbiobert,5,30,../results,../results/20220426/224054,26986,50,1e-05,,,,
29,29,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0002,clinicalbiobert,5,50,../results,../results/20220426/212658,86760,50,1e-05,,,,
30,30,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0005,clinicalbiobert,5,30,../results,../results/20220426/223616,19960,25,1e-05,,,,
31,31,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0005,clinicalbiobert,5,50,../results,../results/20220426/233743,28047,25,0.001,,,,
32,32,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0005,clinicalbiobert,5,50,../results,../results/20220426/232355,73571,50,0.0001,,,,
33,33,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0002,clinicalbiobert,5,40,../results,../results/20220426/221815,94236,25,0.01,,,,
34,34,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0002,clinicalbiobert,5,40,../results,../results/20220426/214312,82066,50,0.0001,,,,
35,35,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0001,clinicalbiobert,5,30,../results,../results/20220426/205016,64559,100,0.001,,,,
